Municipio,Hombre,Mujer,PEA Ocupada,PEA Desocupada,PNEA Disponible,PNEA No Disponible
Azcapotzalco,136366,123012,242872,16506,17301,143826
Coyoacan,162605,124696,272270,15031,67719,216743
Cuajimalpa de Morelos,53620,49909,98662,4867,11225,39845
Gustavo A. Madero,283448,213490,469014,27924,87307,347621
Iztacalco,90642,84235,168298,6579,26361,108736
Iztapalapa,479706,372009,796764,54951,144965,517021
La Magdalena Contreras,71638,52382,112344,11676,28358,62204
Milpa Alta,33105,25096,57999,202,21427,28404
Alvaro Obregon,223815,173388,360604,36599,47707,164499
Tlahuac,148977,100503,236541,12939,35132,135554
Tlalpan,196342,172874,350320,18896,63204,203575
Xochimilco,167593,97989,250144,15438,38108,156369
Benito Juarez,126786,126667,233573,19880,40911,159295
Cuauhtemoc,197303,135432,320328,12407,44267,160748
Miguel Hidalgo,88689,84152,165580,7261,8142,93489
Venustiano Carranza,146502,123198,258466,11234,28542,198633
