mun,Municipio,Grupo_edad,Ausentes_temporales_con_vnculo_laboral,Menos_de_15_horas,De_15_a_34_horas,De_35_a_48_horas,Mas_de_48_horas,No_especificado
2,Azcapotzalco,15_a_24_awos,839,3616,4279,16457,6368,0
2,Azcapotzalco,25_a_44_awos,2822,2104,22914,62495,26824,747
2,Azcapotzalco,45_a_64_awos,10977,1565,13320,42332,13513,869
2,Azcapotzalco,65_awos_y_mas,896,2571,1718,5646,0,0
3,Coyoacan,15_a_24_awos,0,9130,3606,9616,10479,0
3,Coyoacan,25_a_44_awos,9030,5840,10980,73201,23755,0
3,Coyoacan,45_a_64_awos,1875,5955,20453,34994,27156,0
3,Coyoacan,65_awos_y_mas,0,1317,13620,8276,2987,0
4,Cuajimalpa_de_Morelos,No_aplica,0,674,0,0,0,0
4,Cuajimalpa_de_Morelos,15_a_24_awos,0,3662,3022,7265,2988,0
4,Cuajimalpa_de_Morelos,25_a_44_awos,674,2280,4844,20573,23783,0
4,Cuajimalpa_de_Morelos,45_a_64_awos,0,2951,4032,10237,8230,0
4,Cuajimalpa_de_Morelos,65_awos_y_mas,0,0,1574,1873,0,0
5,Gustavo_A._Madero,No_aplica,0,0,0,2925,0,0
5,Gustavo_A._Madero,15_a_24_awos,883,3570,11217,29213,9739,0
5,Gustavo_A._Madero,25_a_44_awos,8790,4744,15784,99525,49405,1116
5,Gustavo_A._Madero,45_a_64_awos,7179,13521,30255,90624,65905,0
5,Gustavo_A._Madero,65_awos_y_mas,973,3427,5955,3985,8450,0
5,Gustavo_A._Madero,Edad_no_especificado,0,0,0,1829,0,0
6,Iztacalco,No_aplica,0,840,0,0,0,0
6,Iztacalco,15_a_24_awos,0,1650,2058,7459,2215,0
6,Iztacalco,25_a_44_awos,2447,2172,4004,52156,26636,756
6,Iztacalco,45_a_64_awos,0,2449,7233,24866,21752,824
6,Iztacalco,65_awos_y_mas,965,0,2816,4035,965,0
7,Iztapalapa,No_aplica,0,1443,1373,0,0,0
7,Iztapalapa,15_a_24_awos,3395,7227,26075,37013,24587,0
7,Iztapalapa,25_a_44_awos,13899,16495,52070,172535,122839,989
7,Iztapalapa,45_a_64_awos,13674,14990,48737,123535,67048,0
7,Iztapalapa,65_awos_y_mas,3409,4085,9541,17967,11920,0
7,Iztapalapa,Edad_no_especificado,0,0,0,1918,0,0
8,La_Magdalena_Contreras,15_a_24_awos,899,2652,2800,4099,3297,0
8,La_Magdalena_Contreras,25_a_44_awos,2774,4382,12086,13560,18160,0
8,La_Magdalena_Contreras,45_a_64_awos,0,2603,8338,12090,16412,0
8,La_Magdalena_Contreras,65_awos_y_mas,0,716,3823,1862,1791,0
9,Milpa_Alta,15_a_24_awos,0,2198,4108,1212,606,0
9,Milpa_Alta,25_a_44_awos,0,2065,2904,6263,9026,0
9,Milpa_Alta,45_a_64_awos,202,1099,4281,14061,6074,0
9,Milpa_Alta,65_awos_y_mas,0,0,1968,966,966,0
10,Alvaro_Obregon,No_aplica,0,0,0,806,0,0
10,Alvaro_Obregon,15_a_24_awos,0,3761,4339,19198,12440,0
10,Alvaro_Obregon,25_a_44_awos,11271,7842,33573,78540,63395,0
10,Alvaro_Obregon,45_a_64_awos,5179,4585,15480,54488,29004,0
10,Alvaro_Obregon,65_awos_y_mas,1794,7447,1103,6359,0,0
11,Tlahuac,15_a_24_awos,0,3265,7044,11927,6656,0
11,Tlahuac,25_a_44_awos,4550,2135,13547,63662,37518,0
11,Tlahuac,45_a_64_awos,2312,7341,10758,30315,27072,0
11,Tlahuac,65_awos_y_mas,1473,961,1263,2685,2057,0
12,Tlalpan,15_a_24_awos,0,1399,10660,16116,8115,0
12,Tlalpan,25_a_44_awos,7669,8601,31755,74979,40634,0
12,Tlalpan,45_a_64_awos,10670,5129,24617,56838,33169,0
12,Tlalpan,65_awos_y_mas,1327,979,9270,5711,2682,0
13,Xochimilco,15_a_24_awos,929,2526,6597,11598,4671,412
13,Xochimilco,25_a_44_awos,3714,4148,13814,57854,45737,0
13,Xochimilco,45_a_64_awos,2107,8591,11991,32817,29610,0
13,Xochimilco,65_awos_y_mas,0,1413,3007,5857,2751,0
14,Benito_Juarez,15_a_24_awos,0,0,7711,2623,0,0
14,Benito_Juarez,25_a_44_awos,2623,0,20929,53675,36212,905
14,Benito_Juarez,45_a_64_awos,4046,5576,26042,49146,16043,0
14,Benito_Juarez,65_awos_y_mas,0,1238,2084,4720,0,0
15,Cuauhtemoc,15_a_24_awos,0,810,2656,4713,19051,0
15,Cuauhtemoc,25_a_44_awos,9701,5022,22324,75127,53327,0
15,Cuauhtemoc,45_a_64_awos,4102,5771,17502,52941,30092,0
15,Cuauhtemoc,65_awos_y_mas,0,0,3753,2940,10496,0
16,Miguel_Hidalgo,15_a_24_awos,0,0,2519,600,2109,0
16,Miguel_Hidalgo,25_a_44_awos,3532,0,9146,58112,32106,0
16,Miguel_Hidalgo,45_a_64_awos,7706,0,7062,24706,10745,0
16,Miguel_Hidalgo,65_awos_y_mas,0,1395,3418,925,1499,0
17,Venustiano_Carranza,15_a_24_awos,0,0,1845,9381,4849,0
17,Venustiano_Carranza,25_a_44_awos,6704,5580,15960,53923,36629,0
17,Venustiano_Carranza,45_a_64_awos,7127,3651,11371,44861,38546,0
17,Venustiano_Carranza,65_awos_y_mas,1164,3300,4793,2699,6083,0
